,vector_sum_numpy,c_cuda_vector_sum,vector_sum_one_thread_python,cpu_cython_vector_sum,c_cpu_vector_sum
0,1.023099999997612e-05,0.00035371699999984683,0.00013613999999506632,7.5199999969299824e-06,2.340000003187015e-06
1,9.787999999844033e-06,0.00029749100000003636,0.00025253999999677037,2.2199999989425123e-06,3.1199999966702307e-06
2,9.815999999887027e-06,0.00047913199999982225,0.000524099999995542,3.1600000056641875e-06,5.240000007233903e-06
3,1.1167999999770473e-05,0.0003766919999998208,0.0010923800000000484,5.4599999998572455e-06,9.739999995872495e-06
4,1.1162000000126681e-05,0.0004331039999999575,0.0020936600000027285,1.3280000007398485e-05,1.7919999993409875e-05
5,1.2841000000207714e-05,0.00043332799999973304,0.004177879999997458,1.656000000593849e-05,3.5099999990961805e-05
6,1.6560000000254148e-05,0.00043072900000026945,0.008486260000006495,3.216000000065833e-05,7.325999999920895e-05
7,2.353700000014669e-05,0.0003269450000004781,0.0168120599999952,6.262000000560875e-05,0.00014132000000017798
8,3.541900000016085e-05,0.00039478700000017853,0.03357675999999401,0.00013026000000309067,0.00027485999999044
9,6.182200000012018e-05,0.0005487890000000561,0.06691174000000047,0.0002670599999987644,0.0005718199999932949
10,0.00010942999999997482,0.0008301800000003823,0.13757500000000392,0.000499200000001565,0.001109079999991991
11,0.00020639499999958844,0.0013870280000003276,0.26928881999999704,0.001007059999994908,0.002234899999996287
12,0.0004282269999998789,0.002739291999999978,0.53629416,0.0020278999999959525,0.004481720000001133
13,0.0008800719999999273,0.0049478979999997815,1.0879448999999908,0.004075360000001638,0.008991920000005394
14,0.0018124309999996058,0.009629373999999871,0.0,0.008233340000003864,0.01804548000000068
15,0.0038542280000001482,0.019054806999999983,0.0,0.016649300000005952,0.03653808000000254
16,0.007360288999999512,0.03831145600000013,0.0,0.03299948000000086,0.072419560000003
17,0.014755379000000061,0.08110626599999989,0.0,0.06587198000000853,0.1443053000000077
18,0.031362169000000224,0.15585118599999986,0.0,0.13321985999999697,0.29561218000000056
19,0.0620893140000004,0.30974109200000044,0.0,0.2639037199999962,0.5930599800000096
20,0.12413939400000004,0.6126652630000001,0.0,0.5335015599999906,1.1801133000000164
